vehicle_id,vehicle_type,make,model,model_year,colour,date_stolen,region,region_population,region_density_km2,make_type
1676,Saloon,Ford,FALCON,2006.0,Grey,2021-10-07,Wellington,"543,500",67.52,Standard
4040,Utility,Mitsubishi,L200 SPORT,1990.0,Grey,2021-10-07,Manawatū-Whanganui,"258,200",11.62,Standard
346,Trailer,Trailer,HOMEMADE,2007.0,Black,2021-10-07,Waikato,"513,800",21.5,Standard
3706,Stationwagon,Mitsubishi,GRANDIS,2001.0,Silver,2021-10-07,Canterbury,"655,000",14.72,Standard
18,Boat Trailer,Trailer,BOAT,2004.0,White,2021-10-07,Bay of Plenty,"347,700",28.8,Standard
2552,Saloon,Honda,ACCORD,1998.0,Red,2021-10-07,Northland,"201,500",16.11,Standard
3874,Stationwagon,Isuzu,BIGHORN,1996.0,Green,2021-10-07,Bay of Plenty,"347,700",28.8,Standard
841,Roadbike,BMW,G310,2017.0,White,2021-10-07,Auckland,"1,695,200",343.09,Luxury
3513,Saloon,BMW,323I,2000.0,Red,2021-10-07,Wellington,"543,500",67.52,Luxury
4122,Trailer,Trailer,8X5TB,2012.0,Silver,2021-10-07,Canterbury,"655,000",14.72,Standard
3350,Saloon,Holden,COMMODORE,2006.0,Black,2021-10-07,Auckland,"1,695,200",343.09,Standard
3421,Stationwagon,Toyota,RAV4,2018.0,White,2021-10-07,Auckland,"1,695,200",343.09,Standard
1961,Flat Deck Truck,Nissan,ATLAS,1998.0,White,2021-10-07,Auckland,"1,695,200",343.09,Standard
4275,Saloon,Toyota,COROLLA,1997.0,White,2021-10-07,Hawke's Bay,"182,700",12.92,Standard
4198,Trailer,Trailer,RENEGADE,2013.0,Grey,2021-10-07,Auckland,"1,695,200",343.09,Standard
1934,Light Van,Toyota,HIACE,2008.0,Silver,2021-10-07,Otago,"246,000",7.89,Standard
4536,,Honda,TRX520FW2M,2012.0,Red,2021-10-07,Northland,"201,500",16.11,Standard
3821,Saloon,BMW,320I,2006.0,White,2021-10-08,Bay of Plenty,"347,700",28.8,Luxury
734,Saloon,Nissan,PRIMERA,1991.0,Black,2021-10-08,Otago,"246,000",7.89,Standard
809,Stationwagon,Subaru,LEGACY,1993.0,Red,2021-10-08,Wellington,"543,500",67.52,Standard
1506,Utility,Ford,COURIER,2005.0,Grey,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
1093,Saloon,Holden,COMMODORE,2003.0,Green,2021-10-08,Northland,"201,500",16.11,Standard
1448,Utility,Mazda,BOUNTY,2005.0,White,2021-10-08,Auckland,"1,695,200",343.09,Standard
1851,Light Van,Nissan,CARAVAN,2002.0,White,2021-10-08,Auckland,"1,695,200",343.09,Standard
2124,Utility,Holden,2.6L PET LS SPA,1994.0,Grey,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
934,Moped,TNT Motor,ROMA,2019.0,Black,2021-10-08,Wellington,"543,500",67.52,Standard
1330,Roadbike,Kawasaki,EX,2020.0,Black,2021-10-08,Auckland,"1,695,200",343.09,Standard
725,Stationwagon,Nissan,AVENIR,1992.0,Blue,2021-10-08,Otago,"246,000",7.89,Standard
1750,Utility,Toyota,HILUX 2.4 SR5,1994.0,Blue,2021-10-08,Wellington,"543,500",67.52,Standard
3400,Stationwagon,Mazda,PREMACY,2008.0,Silver,2021-10-08,Northland,"201,500",16.11,Standard
1025,Utility,Toyota,HILUX,2002.0,Brown,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
3605,Light Bus,Toyota,HIACE,2019.0,White,2021-10-08,Auckland,"1,695,200",343.09,Standard
2217,Saloon,Mazda,ATENZA,2003.0,Silver,2021-10-08,Manawatū-Whanganui,"258,200",11.62,Standard
25,Trailer,Trailer,CHOOKS 2.4X1.6 TRANS,2018.0,Silver,2021-10-08,Hawke's Bay,"182,700",12.92,Standard
2271,Stationwagon,Honda,ACCORD,1999.0,White,2021-10-08,Waikato,"513,800",21.5,Standard
1207,Saloon,Toyota,CORONA,2001.0,White,2021-10-08,Auckland,"1,695,200",343.09,Standard
